index,u_q,coolant,stator_winding,u_d,stator_tooth,motor_speed,i_d,i_q,pm,stator_yoke,ambient,torque
13,-0.808621645,18.96543503,19.10191345,0.810526609,18.28453064,-0.003565325,-1.903730512,1.045553207,24.50167656,18.313797,19.85196304,1.115404129
14,-0.886074424,18.92910576,19.10184288,0.796229839,18.28499222,-0.00058039,-1.931227803,1.05921948,24.47671318,18.31996155,19.85222816,1.089079261
15,-0.826320052,18.88047218,19.09673882,0.843889654,18.28540039,0.000280462,-1.949552655,1.07179296,24.459692,18.33256531,19.85196304,1.151202679
16,-0.945092261,18.83951759,19.0927372,0.801049113,18.28534698,-0.001451866,-1.965535045,1.076939821,24.45814514,18.33057404,19.92391586,1.096611142
17,-0.842017174,18.80728531,19.09233856,0.851180732,18.28530693,-0.001538621,-1.974308014,1.08458364,24.46741867,18.32253647,19.90313911,1.163322806
18,-0.961187124,18.77907181,19.09185791,0.808190763,18.28528023,-0.003263093,-1.981452942,1.088360786,24.47800064,18.31739616,19.88825035,1.121820569
19,-0.912816584,18.77373123,19.09414291,0.833553672,18.2840271,0.000786953,-1.988195181,1.087742686,24.48329353,18.31097603,19.87758446,1.114811301
20,-0.916470885,18.80094528,19.10287666,0.827922523,18.28428268,-0.001279084,-1.99088645,1.092754245,24.50847816,18.30895424,19.8699398,1.120905161
21,-0.945531785,18.8354702,19.1078968,0.811725199,18.28427696,0.001446724,-1.994657516,1.09175992,24.53093719,18.30624008,19.86446381,1.110260606
22,-0.864643574,18.84711456,19.10292625,0.844667554,18.28480911,0.002650902,-1.995024204,1.095996976,24.53871918,18.30220795,19.86054039,1.172173738
23,-0.974432528,18.85686874,19.09906387,0.80317086,18.28588867,0.00016257,-1.997702599,1.093382597,24.53025627,18.30116844,19.85772705,1.115775347
24,-0.421774149,18.88525009,19.09810257,0.665909529,18.28851128,4.788293362,-2.099720001,2.062773943,24.5235672,18.30085182,19.85571289,0.638446748
25,5.692666054,18.9361248,19.09020042,-1.205160379,18.29266739,117.7774887,-3.191214561,11.29672813,24.52557945,18.30397797,19.85426903,2.689707518
26,16.27648544,18.96764946,19.08249283,-6.805256367,18.29325676,333.6721497,-6.213004112,26.67050552,24.48762894,18.32125854,19.85323524,10.85856247
27,30.2929306,18.97465324,19.08237839,-14.66652298,18.29194069,630.3953247,-8.841184616,39.17913055,24.4620266,18.33045769,19.85249329,18.12454796
28,46.82078171,18.98492622,19.08900452,-23.74708748,18.28914642,984.8758545,-10.72475052,48.14261246,24.44099808,18.3231163,19.85196304,23.26416588
29,65.26157379,18.99449539,19.07780457,-33.4334259,18.28610039,1380.684937,-11.98437214,54.39499283,24.43573952,18.31703758,19.85158157,26.64455414
30,84.11606598,18.99461174,19.05853081,-36.3999176,18.28391838,1806.124512,-13.85947418,51.28224182,24.4307766,18.31414986,19.85130882,23.39300919
31,91.33327484,18.99481392,19.0493412,-46.96298981,18.28050423,2252.754883,-32.17198181,54.01887512,24.36547089,18.31296921,19.85111427,26.75975418
32,94.83026123,18.97593689,19.05241966,-56.5373764,18.27701569,2714.523926,-52.63347244,55.17978668,24.28589821,18.3159008,19.85097504,29.10434723
33,95.68653107,18.9411068,19.08193779,-65.28024292,18.27636528,3187.173584,-73.00691986,55.30832672,24.26473618,18.31418991,19.85087395,30.66880989
34,94.4420929,18.91012001,19.08029175,-72.85375214,18.27755928,3662.767334,-92.45965576,54.7163353,24.37297058,18.3079834,19.85080147,32.56956482
35,93.56522369,18.87451553,19.05317879,-78.16062164,18.28554916,4041.967041,-107.0465775,54.13114548,24.45832062,18.31853104,19.85074997,37.01316452
36,92.98795319,18.84697342,19.06388664,-82.08722687,18.32224274,4313.600586,-117.4140244,53.78488541,24.38848877,18.33513069,19.85071373,40.28695297
37,92.54691315,18.82389832,19.1517849,-84.78216553,18.35211563,4508.188477,-124.7722549,53.48944473,24.405056,18.35504532,19.85068703,42.57666016
38,92.40385437,18.79880142,19.26878929,-86.73978424,18.35457611,4647.597168,-130.0195007,53.29805756,24.35106087,18.36828423,19.85066795,44.24040222
39,92.20590973,18.78588104,19.32846642,-88.09082794,18.36418724,4747.486328,-133.8542023,53.12988281,24.31991959,18.37710571,19.8506546,45.4703331
40,92.09673309,18.79399872,19.3658371,-89.07040405,18.35474586,4819.052246,-136.5466309,53.01786041,24.37267876,18.40394211,19.85064507,46.26978683
41,92.01148224,18.81829453,19.40844536,-89.87602234,18.3396225,4870.331055,-138.456192,52.97772598,24.45685387,18.42840195,19.85063744,46.8915062
42,91.97666931,18.82773209,19.49983788,-90.35048676,18.36831093,4907.075195,-139.7649231,52.90997696,24.49435043,18.44218063,19.85063362,47.29391098
43,91.6917038,18.83812523,19.52217293,-90.84911346,18.3958149,4933.409668,-140.7449493,52.86047363,24.56790924,18.44553566,19.85062981,47.62765503
44,91.69003296,18.87758255,19.47428703,-91.24068451,18.41897583,4952.276367,-141.3739166,52.90927887,24.6321125,18.44631386,19.85062599,47.85958862
45,91.55169678,18.93671036,19.48499298,-91.43112946,18.48439407,4965.794922,-141.8997345,52.88905716,24.70804596,18.44729805,19.85062408,48.02729797
46,91.5039978,18.96876144,19.56229782,-91.54257202,18.5453968,4975.481445,-142.1849976,52.83537292,24.72052002,18.44395256,19.85062408,48.11584854
47,91.42022705,18.98303604,19.63839149,-91.69178009,18.61006927,4982.421387,-142.430954,52.83867264,24.72442055,18.44872284,19.85062218,48.20462799
48,91.3238678,18.99272919,19.69207382,-91.68550873,18.69973946,4987.389648,-142.6726837,52.78606033,24.73588181,18.4548912,19.85062218,48.18384552
49,91.21046448,19.00747108,19.73701668,-91.67628479,18.77998924,4990.947754,-142.8072662,52.72650528,24.74635696,18.45853424,19.85062218,48.34700012
50,91.30334473,19.02474594,19.76922035,-91.61979675,18.85722923,4993.492676,-143.0028687,52.71538162,24.85456085,18.46211052,19.85062027,48.40454483
51,91.31778717,19.03580284,19.79229355,-91.60912323,18.92370605,4995.330078,-143.2575378,52.74920654,24.89683151,18.46132088,19.85062027,48.50986099
52,91.50395966,19.01597404,19.82242203,-91.54717255,18.96208382,4996.641113,-143.3574066,52.75727844,24.88163757,18.49074364,19.85062027,48.54697037
53,91.63202667,18.96730614,19.87445259,-91.44582367,18.98374939,4997.576172,-143.4975891,52.75606537,24.88752365,18.52867889,19.85062027,48.53339767
54,91.72813416,18.93075562,19.98326874,-91.44301605,19.01928329,4998.259277,-143.59758,52.76506042,24.93545723,18.54282761,19.85062027,48.4661026
55,91.69637299,18.89103317,20.14957428,-91.49674225,19.04203224,4998.742676,-143.6170044,52.77028275,24.98430634,18.56760025,19.85062027,48.44016266
56,91.80187225,18.84735298,20.39146614,-91.42882538,19.05465126,4999.081543,-143.5697021,52.7237587,25.06441116,18.58888626,19.85062027,48.35169601
57,91.72537231,18.81692314,20.70502281,-91.58691406,19.08956909,4999.332031,-143.613678,52.77153015,25.09139252,18.6091404,19.85062027,48.38402557
58,91.74338531,18.7900486,20.90047646,-91.56077576,19.17592239,4999.501953,-143.5138245,52.7367897,25.13454437,18.62181473,19.85062027,48.38375854
59,91.68592072,18.7759304,21.03018379,-91.59564209,19.24765015,4999.626465,-143.4749756,52.74597549,25.14380455,18.62425423,19.85062027,48.36180496
60,91.60424805,18.78638077,21.16049004,-91.66465759,19.29424477,4999.733398,-143.4610138,52.7972374,25.19322014,18.62954712,19.85062027,48.36323547
61,91.50417328,18.81254578,21.26753998,-91.68872833,19.37235832,4999.796875,-143.3226013,52.77402115,25.22175217,18.6373558,19.85062027,48.3503685
62,91.62711334,18.8348217,21.48827934,-91.76865387,19.46616936,4999.838379,-143.1643677,52.82323074,25.26532745,18.65783501,19.85062027,48.39472198
63,91.6698761,18.84308243,21.75036621,-91.83112335,19.548172,4999.873535,-143.072403,52.83293533,25.30532837,18.70764923,19.85062027,48.40420151
64,91.66087341,18.86523628,21.95392036,-91.92790985,19.60890388,4999.897949,-143.0134735,52.8747139,25.34822083,18.77098274,19.85062027,48.38418961
65,91.66999054,18.90862274,22.15221977,-91.94959259,19.65137672,4999.910156,-142.9343262,52.87958527,25.35770035,18.8177681,19.85062027,48.39691162
66,91.57463074,18.94642258,22.36210632,-91.99981689,19.69723129,4999.922363,-142.918045,52.88457108,25.3760128,18.85618019,19.85062027,48.3430748
67,91.3585968,18.97416687,22.57530785,-92.13192749,19.73754883,4999.935547,-142.8423309,52.85838318,25.41579056,18.89439392,19.85062027,48.4203186
68,91.36665344,18.99323654,22.79669571,-92.13973236,19.76697731,4999.936035,-142.7714539,52.87234879,25.49888992,18.91415024,19.85062027,48.39601517
69,91.25337219,19.0071125,23.0473156,-92.17597198,19.78999138,4999.945313,-142.7678223,52.8588562,25.60040474,18.93191528,19.85062027,48.37667465
70,91.19622803,19.02098083,23.25574684,-92.14096069,19.8071785,4999.950684,-142.750885,52.82914352,25.66279602,18.9440403,19.85062027,48.36834335
71,91.1364212,19.01303482,23.34762955,-92.0693512,19.81949234,4999.952148,-142.7813416,52.80554199,25.65943527,18.96158791,19.85062027,48.37695694
72,91.08652496,18.9846611,23.38085365,-92.03020477,19.82831573,4999.954102,-142.8674927,52.80385208,25.68253326,18.99468803,19.85062027,48.40718079
73,91.03054047,18.95289421,23.42476654,-92.02114868,19.8346386,4999.953613,-142.8893738,52.78090668,25.71392632,19.03345871,19.85062027,48.38267136
74,91.22318268,18.90567207,23.50649071,-91.84054565,19.83916855,4999.94873,-142.9456482,52.75315857,25.7714138,19.05862808,19.85062027,48.48284149
75,91.40493774,18.86194801,23.70257759,-91.79922485,19.84241486,4999.95752,-143.0320435,52.81324768,25.8392868,19.0759201,19.85062027,48.46073532
76,91.52488708,18.83242035,23.95046234,-91.65341187,19.84474182,4999.955078,-143.1394806,52.77966309,25.88093185,19.09436798,19.85062027,48.39451599
77,91.61347961,18.80834579,24.16281319,-91.64830017,19.84640694,4999.960449,-143.2391968,52.78006363,25.93289757,19.10693741,19.85062027,48.4311142
78,91.72055054,18.78609848,24.37574577,-91.56175995,19.84760094,4999.960449,-143.256073,52.77664948,25.89650726,19.13085938,19.85062027,48.37857056
79,91.68611908,18.77888298,24.53831673,-91.58017731,19.84845734,4999.958984,-143.2033081,52.78157806,25.84420967,19.1493721,19.85062027,48.41249466
80,91.75119019,18.78165436,24.64872742,-91.62676239,19.90829086,4999.951172,-143.1453094,52.81298447,25.91022491,19.16798592,19.85062027,48.42960739
81,91.67605591,18.80059052,24.71929741,-91.7124176,19.92533112,4999.956055,-143.1491852,52.82122803,25.99282455,19.18441963,19.85062027,48.3568306
82,91.60262299,18.82907486,24.82834435,-91.73381042,19.98311234,4999.952637,-143.1326752,52.80918121,26.0061264,19.20405769,19.85062027,48.37440491
83,91.5195694,18.84478188,24.97796249,-91.77494049,20.14737511,4999.953613,-143.116806,52.79948425,26.03347206,19.22396088,19.85062027,48.35701752
84,91.4989624,18.88220024,25.06825829,-91.84781647,20.27038002,4999.958984,-143.0408936,52.80732727,26.0925808,19.24659157,19.85062027,48.33122253
85,91.34884644,18.9394207,25.13029099,-91.90136719,20.33660698,4999.958496,-142.9513397,52.76807785,26.13123322,19.25992393,19.85062027,48.41606903
86,91.43663788,18.98342514,25.29652596,-92.0875473,20.56110191,4999.961426,-142.8328552,52.87370682,26.21213531,19.26777267,19.85062027,48.46357346
87,91.51195526,19.01854706,25.45828056,-92.08676147,20.82917786,4999.956543,-142.7193298,52.88060379,26.2982502,19.30007935,19.85062027,48.40291214
88,91.47473907,19.03207779,25.54686165,-92.10447693,21.02852249,4999.955078,-142.684433,52.87490463,26.30823517,19.32144737,19.85062027,48.29776764
89,91.41506958,19.03107262,25.64108658,-92.12319183,21.25082207,4999.95166,-142.6668396,52.86449814,26.3357048,19.35794258,19.85062027,48.30906296
90,91.35285187,19.02543449,25.77824211,-92.19615936,21.4539299,4999.958984,-142.608963,52.87973022,26.35141945,19.39681816,19.85062027,48.31930161
91,91.0682373,19.01722908,25.93728447,-92.31375122,21.64140892,4999.962891,-142.5825348,52.85390854,26.42046356,19.42347145,19.85062027,48.45709229
92,91.12750244,18.99901962,26.0532608,-92.37380219,21.8074131,4999.952637,-142.4538574,52.89625931,26.48495865,19.43216133,19.85062027,48.40164566
93,91.00541687,18.96207619,26.15395737,-92.37014771,21.96049118,4999.959961,-142.5113678,52.87240601,26.54389191,19.43829727,19.85062027,48.3635025
94,90.94940948,18.9131794,26.23389626,-92.32862091,22.0788517,4999.958496,-142.532196,52.83192825,26.58364487,19.46282578,19.85062027,48.35166931
95,90.93195343,18.86360741,26.28414917,-92.25521851,22.19368362,4999.962402,-142.5694122,52.79216766,26.63250351,19.48547363,19.85062027,48.37652206
96,90.96907806,18.8208313,26.33001328,-92.15538788,22.28865623,4999.959473,-142.6409454,52.80578995,26.71968079,19.51098824,19.85062027,48.4260025
97,90.88800049,18.79639816,26.3922348,-92.11506653,22.39297676,4999.956543,-142.759552,52.788311,26.78069878,19.53094292,19.85062027,48.39544296
98,91.11343384,18.78973579,26.55006981,-92.00053406,22.51130676,4999.949707,-142.8102112,52.79076004,26.79211426,19.54430962,19.85062027,48.39751053
99,91.3061676,18.78229332,26.86169815,-91.89769745,22.63320923,4999.95459,-142.9024506,52.80436707,26.78974533,19.5561657,19.85062027,48.39957809
100,91.50767517,18.77867317,27.1050663,-91.70967102,22.76195908,4999.953613,-142.9205322,52.76118851,26.78710747,19.58447838,19.85062027,48.43657303
101,91.62203979,18.77985382,27.24380493,-91.72000122,22.86951447,4999.960449,-142.9616547,52.79756546,26.7869854,19.61246109,19.85062027,48.39107513
102,91.60606384,18.79522324,27.43465614,-91.75765991,22.95151711,4999.965332,-143.0279388,52.82520676,26.83504486,19.63755989,19.85062027,48.38398361
103,91.46917725,18.81842232,27.60756874,-91.771698,23.02169228,4999.965332,-143.0228882,52.80480576,26.94024086,19.65135002,19.85062027,48.42695618
104,91.50517273,18.85909081,27.71158791,-91.85791779,23.07437706,4999.949707,-142.9543152,52.82964325,26.9841423,19.66843033,19.85062027,48.37854767
105,91.47738647,18.91802788,27.78703308,-91.85083008,23.10518456,4999.95166,-142.9113617,52.80305862,26.99456787,19.69652939,19.85062027,48.35246277
106,91.42697906,18.94971657,27.85492516,-91.9471817,23.1463356,4999.959473,-142.8787079,52.83732986,27.04631615,19.72311592,19.85062027,48.38155746
107,91.44018555,18.98585892,27.96151161,-91.94606781,23.17908859,4999.959961,-142.79422,52.81689835,27.05197906,19.74039268,19.85062027,48.45470428
108,91.37052155,19.01689911,28.06795883,-92.00855255,23.23435402,4999.959961,-142.7857819,52.83280563,27.09791946,19.75384712,19.85062027,48.36798859
109,91.33072662,19.03999329,28.09358978,-92.13677216,23.30407333,4999.962891,-142.5872192,52.84723282,27.14457321,19.76981544,19.85062027,48.42205811
110,91.40397644,19.04485321,28.2281208,-92.15554047,23.3697319,4999.95752,-142.5042267,52.87372589,27.20276642,19.78835678,19.85062027,48.33955002
111,91.31357574,19.0159111,28.44271088,-92.18611145,23.43441391,4999.956055,-142.5617218,52.8652153,27.26036835,19.80099297,19.85062027,48.36259079
112,91.33634949,18.97960472,28.57623291,-92.23252869,23.47687912,4999.955566,-142.4756775,52.91150665,27.29575539,19.81262589,19.85062027,48.3933754
113,91.32845306,18.93179703,28.70052528,-92.28134918,23.54519463,4999.951172,-142.3850708,52.88439941,27.32031059,19.82216263,19.85062027,48.41513443
114,91.16630554,18.88693237,28.86852837,-92.47908783,23.62253761,4999.954102,-142.4288788,52.9381218,27.31713867,19.82830048,19.85062027,48.43326569
115,90.90953064,18.85142899,29.03245735,-92.54586029,23.72507477,4999.958984,-142.3988495,52.90982819,27.36657333,19.83393097,19.85062027,48.47197723
116,90.92209625,18.82632065,29.20909119,-92.48126221,23.80851364,4999.951172,-142.3349152,52.8678894,27.43370819,19.8386631,19.85062027,48.44287491
117,90.8539505,18.80148697,29.37224197,-92.4837265,23.92745972,4999.958496,-142.3870544,52.90181732,27.47234726,19.84205246,19.85062027,48.46421814
118,90.80316925,18.78073502,29.50358772,-92.37276459,24.08302498,4999.960449,-142.4510498,52.84383774,27.478405,19.84448051,19.85062027,48.4078064
119,90.8677063,18.78439903,29.60861206,-92.30774689,24.25020599,4999.958984,-142.4773865,52.8407402,27.49702454,19.84622192,19.85062027,48.44955444
120,90.83300018,18.79549599,29.77742767,-92.20567322,24.40108109,4999.958496,-142.6663055,52.83436203,27.51547241,19.84746742,19.85062027,48.41652298
121,90.855896,18.80639648,29.99142456,-92.09145355,24.51906967,4999.958496,-142.7107239,52.80216217,27.57159042,19.84836197,19.85062027,48.4930954
122,91.08275604,18.82859421,30.1166172,-91.96658325,24.60604858,4999.956543,-142.7761383,52.81480789,27.58725739,19.84900284,19.85062027,48.44636917
123,91.29811096,18.84257317,30.12504196,-91.89781952,24.66405296,4999.953613,-142.8147888,52.82104492,27.67380524,19.8494606,19.85062027,48.41638947
124,91.39146423,18.86964226,30.24013329,-91.84498596,24.70318031,4999.960449,-142.8781433,52.82366943,27.7789402,19.84978867,19.85062027,48.37625885
125,91.48512268,18.91924095,30.45318985,-91.81063843,24.74355316,4999.962891,-142.8784637,52.83925629,27.84074402,19.85002518,19.85062027,48.32442856
126,91.53083038,18.95181084,30.54784584,-91.77786255,24.80966377,4999.958496,-142.8302002,52.80419922,27.87734985,19.85019302,19.85062027,48.28483582
127,91.35739136,18.97005081,30.6661129,-91.77967072,24.86667442,4999.961914,-142.811142,52.78198242,27.91684723,19.85031509,19.86421394,48.32290649
128,91.40692902,18.9873848,30.841465,-91.88284302,24.92864227,4999.950684,-142.6786652,52.84621429,27.95135117,19.85040092,19.87763596,48.37258148
129,91.34302521,19.00735474,30.99542236,-91.99117279,25.02616692,4999.95459,-142.6623688,52.89092636,27.98979759,19.85046387,19.86997795,48.36742783
130,91.3957901,19.01143265,31.06293869,-92.03462982,25.1062355,4999.957031,-142.5376129,52.90858078,28.01766968,19.85050774,19.86449051,48.33778381
131,91.3660202,18.99573898,31.1217556,-92.13007355,25.18475914,4999.95459,-142.471405,52.92775726,28.02894592,19.85054016,19.86055946,48.37680435
132,91.31575775,18.97439194,31.25590897,-92.1932373,25.28751755,4999.953613,-142.4483032,52.94895554,28.04770851,19.85056305,19.85774231,48.37828827
133,91.13625336,18.93914795,31.32164383,-92.18855286,25.37853813,4999.962891,-142.3957062,52.87073135,28.06338501,19.85057831,19.86889076,48.39208603
134,91.20982361,18.88541985,31.36845016,-92.2977066,25.4437561,4999.962402,-142.3136139,52.9286232,28.06217194,19.85058975,19.88044739,48.35716248
135,91.16790009,18.8348732,31.48378944,-92.30774689,25.51207733,4999.949219,-142.3226624,52.93153381,28.09378624,19.85059929,19.87199211,48.41836166
136,91.13433838,18.81990242,31.5779953,-92.41900635,25.58800888,4999.949707,-142.2610626,52.95681,28.19869995,19.85060501,19.86593437,48.41651917
137,91.07707977,18.83310699,31.6119976,-92.39429474,25.67790604,4999.950195,-142.1962128,52.9090271,28.25938988,19.85060883,19.90109825,48.35905075
138,90.98436737,18.82601738,31.65978622,-92.51269531,25.75083733,4999.955078,-142.1704102,52.95552063,28.32943344,19.85061264,19.86116409,48.42298889
139,90.76663971,18.80838013,31.78043175,-92.63228607,25.80975723,4999.961426,-142.1061554,52.9461937,28.32050323,19.85061455,19.86299133,48.47954178
140,90.81391907,18.79925537,31.97495651,-92.68428802,25.87515831,4999.953125,-142.0373077,52.97016144,28.37050247,19.85061646,19.86238098,48.47206879
141,90.73701477,18.80282021,32.13874817,-92.57624054,25.96938896,4999.962891,-142.1408234,52.93703461,28.45450592,19.85061646,19.94223022,48.47553635
142,90.74834442,18.82202148,32.23475647,-92.48171997,26.07539368,4999.955078,-142.193924,52.89919662,28.47813988,19.85061836,19.93299866,48.44691086
143,90.87545013,18.86435127,32.31745148,-92.37774658,26.16108894,4999.953613,-142.2053375,52.88346481,28.44673347,19.85061836,19.90964699,48.50990677
144,90.96994781,18.90987396,32.38508606,-92.20645905,26.22249222,4999.952637,-142.3205566,52.86460876,28.46796036,19.86974144,19.89291382,48.46256638
145,90.96859741,18.94801331,32.40153885,-92.13909149,26.26340485,4999.95752,-142.4292755,52.85063171,28.55808449,19.875103,19.88092613,48.51635742
146,91.17963409,18.98322105,32.48314285,-92.04975891,26.29468346,4999.94873,-142.4919434,52.8432579,28.66762161,19.86816406,19.87233543,48.49755478
147,91.33293915,19.00325775,32.60247803,-91.96907806,26.31918144,4999.959473,-142.5658417,52.85829544,28.75398445,19.88293076,19.86617851,48.45370483
148,91.42132568,19.01114464,32.7060051,-91.94578552,26.33735275,4999.955566,-142.5693207,52.84294128,28.81391144,19.88490105,19.86176872,48.31746292
149,91.43973541,19.01367378,32.78426743,-91.99729919,26.35071945,4999.95752,-142.5694427,52.85148621,28.8051033,19.95290947,19.85860825,48.28630066
150,91.40922546,19.01441193,32.83216476,-91.92386627,26.36029816,4999.95752,-142.5695343,52.85087967,28.81922913,20.0466938,19.85634422,48.2292366
151,91.20304108,18.99785995,32.92549896,-91.96774292,26.3671608,4999.954102,-142.5530701,52.8368454,28.81799316,20.21267319,19.85472107,48.27442551
152,91.30522156,18.96152687,33.10154724,-92.10270691,26.37207794,4999.951172,-142.3987427,52.89496613,28.86802864,20.48559952,19.85355949,48.31251907
153,91.33482361,18.93845749,33.25447464,-92.11590576,26.38547134,4999.955566,-142.3023834,52.87854385,28.94534874,20.69671059,19.85272598,48.3416481
154,91.3224411,18.91124725,33.31588364,-92.24555206,26.39076424,4999.95459,-142.2449951,52.94401932,28.93497849,20.8463459,19.85212898,48.4034462
155,91.27816772,18.87622261,33.3670845,-92.26783752,26.45808029,4999.960449,-142.2219849,52.95315933,28.97115135,20.98451233,19.85170174,48.34834671
156,91.25502014,18.84492493,33.49938202,-92.37962341,26.56500816,4999.960449,-142.1770935,52.96857452,28.99458504,21.07517052,19.85139465,48.39161682
157,91.0406189,18.82108879,33.68497467,-92.46286011,26.61327362,4999.963867,-142.1721954,52.94969177,29.04171753,21.07012939,19.85117531,48.48247528
158,91.10440063,18.81628418,33.84429169,-92.47538757,26.77611542,4999.956543,-142.078186,52.93205261,29.15941238,21.0923481,19.86461067,48.43634033
159,91.0528717,18.83498955,33.96352768,-92.58232117,27.0337944,4999.956055,-142.07901,52.96046448,29.20011902,21.19285774,19.89151382,48.40881729
160,91.00657654,18.85336494,34.11893082,-92.63990784,27.14767647,4999.952148,-142.0122833,52.96085739,29.17069244,21.30422783,19.96431541,48.36974335
161,90.95767212,18.86089325,34.24775314,-92.65676117,27.2646904,4999.957031,-141.9241943,52.95402145,29.13295555,21.36958504,20.01738548,48.43640518
162,90.85917664,18.86323547,34.34337616,-92.73046112,27.42387581,4999.962891,-141.9036255,52.98628616,29.1246376,21.39321899,19.98370552,48.43284988
163,90.63388062,18.88855362,34.41362762,-92.69380188,27.54833794,4999.962402,-141.9094086,52.94845581,29.17682266,21.48250389,19.96325684,48.47480011
164,90.6602478,18.93354034,34.46088028,-92.64723969,27.63612747,4999.961426,-141.9108276,52.92474365,29.25479698,21.59222984,19.93132782,48.48482513
165,90.64409637,18.95983505,34.48512268,-92.5506134,27.70458412,4999.958984,-141.9857178,52.86963272,29.36419106,21.68080139,19.94880486,48.49771881
166,90.71043396,18.97937584,34.51945877,-92.40283966,27.77897263,4999.95166,-142.0484161,52.84627151,29.43980026,21.73652649,19.97225952,48.4709053
167,90.83412933,19.01937866,34.66894531,-92.22504425,27.84602928,4999.953125,-142.1438293,52.8183403,29.4529686,21.78889275,19.93777847,48.45550919
168,90.92101288,19.07633781,34.85733032,-92.1346817,27.90155792,4999.957031,-142.3087769,52.81906509,29.4653244,21.82582474,19.91307259,48.46942139
169,91.00422668,19.11353683,34.99079895,-92.08411407,27.95874214,4999.960938,-142.3397675,52.83476257,29.51933861,21.88577461,19.89536858,48.5026207
170,91.18164063,19.10853004,35.17478561,-92.11009216,28.00736809,4999.956543,-142.3996887,52.86130524,29.5319519,21.98958397,19.88268471,48.44597244
171,91.22455597,19.06934929,35.31107712,-92.16934204,28.04221153,4999.961914,-142.4956665,52.88066101,29.51707649,22.08737946,19.88676453,48.43861771
172,91.25760651,19.00944328,35.38029861,-92.04250336,28.0782795,4999.953125,-142.4973145,52.83546448,29.52407074,22.15541267,19.9195919,48.3707962
173,91.27536011,18.94820023,35.3970871,-92.06488037,28.09866524,4999.958984,-142.4620972,52.83218384,29.58394623,22.22462845,19.93351173,48.34534454
174,91.19908142,18.89878082,35.39708328,-92.12023926,28.16588211,4999.954102,-142.4726563,52.84605789,29.63385773,22.2966156,19.91001511,48.32973099
175,90.98679352,18.85976028,35.45896149,-92.22492218,28.31343842,4999.958984,-142.4518738,52.8568573,29.64404106,22.36054611,19.89317894,48.44216156
176,91.11808014,18.83704185,35.54339981,-92.23308563,28.44897842,4999.95459,-142.2718048,52.86100769,29.63460922,22.40832901,19.88111496,48.38222122
177,91.1419754,18.84341431,35.71665192,-92.34527588,28.53760719,4999.954102,-142.1973724,52.91820145,29.7167244,22.45262718,19.87247086,48.33795547
178,91.16445923,18.84368896,35.88920212,-92.35075378,28.63815689,4999.958984,-142.1169434,52.94750977,29.79991913,22.47027206,19.86627579,48.29432297
179,91.16092682,18.84635353,36.02484131,-92.36367035,28.71087074,4999.957031,-142.06987,52.95173264,29.81183624,22.48624229,19.86183929,48.34085846
180,91.14505005,18.85833168,36.18237305,-92.38278961,28.74031448,4999.959473,-142.0226135,52.94884491,29.7671814,22.56031799,19.85865784,48.35417557
181,90.9888382,18.85998344,36.34579849,-92.44842529,28.7789402,4999.961914,-141.9554901,52.92680359,29.81480408,22.68718147,19.85638046,48.3885498
